ontology ID,label,parent class,definition,definition cross reference,exact synonym,subclass axiom,creation date,created by
ID,AL rdfs:label@en,SC %,AL IAO:0000115@en,>AI oboInOwl:hasDbXref SPLIT=|,AL oboInOwl:hasExactSynonym@en SPLIT=|,SC % SPLIT=|,AT oboInOwl:creation_date^^xsd:dateTime,AI oboInOwl:created_by SPLIT=|
ENVO:03622000,pyrogenic carbon,organic material,"An organic material which is produced by the incomplete combustion or pyrolysis of organic matter (such as biomass or fossil fuels).",https://orcid.org/0000-0003-2261-9931,pyrogenic organic matter|black carbon|fire-derived carbon|PyC|PyOM,'composed primarily of' some 'carbon group molecular entity'|'output of' some 'combustion process'|'output of' some 'pyrolysis',2026-08-13T23:00:00Z,https://orcid.org/0000-0003-2261-9931
